CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,SatisfactionScore,LoyaltyLevel
100,20,Male,Canada,106984,4,7,44,High,73.56910694777399,Bronze
101,45,Male,Germany,111936,2,5,6,High,84.9473667143481,Silver
102,44,Male,Canada,50237,4,5,24,High,95.94781272516428,Bronze
103,53,Male,France,95075,2,2,19,Medium,64.91454603254135,Silver
104,41,Male,France,35895,7,5,49,Medium,42.643387092177434,Bronze
105,68,Male,USA,87271,8,7,32,High,88.32693506051251,Gold
106,20,Male,Germany,53200,2,2,2,High,71.03875210611541,Silver
107,52,Female,USA,67297,1,7,14,Medium,44.41073893532976,Bronze
108,39,Female,Germany,78909,1,9,48,Medium,57.54051471185976,Silver
109,57,Male,UK,109284,9,1,27,High,80.72504348061244,Bronze
110,33,Male,France,47809,7,1,19,Medium,51.04671626201517,Bronze
111,56,Female,Germany,79638,2,8,6,High,77.39232766374651,Bronze
112,52,Male,France,97964,3,2,17,High,97.52451123584247,Bronze
113,46,Male,Germany,62719,9,3,26,High,94.86083438250897,Bronze
114,54,Female,UK,63289,4,4,25,Medium,42.30397966270186,Bronze
115,47,Male,UK,83642,6,4,4,High,75.89714738393292,Silver
116,25,Male,France,56685,8,5,27,High,83.65764053193536,Bronze
117,46,Male,USA,99755,4,7,48,High,80.82703410805291,Silver
118,21,Male,France,61891,7,2,5,Medium,69.81626982811966,Gold
119,48,Female,USA,97339,5,8,17,Medium,45.746905468912196,Silver
120,62,Male,UK,42083,9,8,43,Medium,47.02667096034096,Bronze
121,20,Female,Germany,112901,2,10,32,Medium,52.79931448884257,Silver
122,22,Female,France,116325,4,7,37,Medium,64.55483697102439,Silver
123,31,Male,USA,92229,2,4,42,Low,11.606646897261328,Bronze
124,57,Male,Canada,71713,5,7,17,High,94.61949460138467,Bronze
125,23,Female,Canada,54686,10,2,7,High,91.61726337918334,Silver
126,35,Male,Canada,91060,8,2,39,Low,30.128709253843585,Silver
127,25,Female,UK,104864,2,5,8,Medium,50.31901467810798,Silver
128,49,Female,UK,111735,5,10,17,High,76.92419582431623,Silver
129,25,Male,UK,67417,9,8,8,High,89.26672571750343,Silver
130,46,Male,Canada,57349,7,8,17,Low,26.685216206999566,Silver
131,48,Male,USA,66565,8,1,39,High,91.47224458637325,Silver
132,56,Female,Canada,34599,7,1,2,High,93.94426473451011,Gold
133,33,Male,USA,57399,5,1,2,Medium,44.314535938797086,Silver
134,66,Female,Germany,32200,10,1,16,Medium,69.13482078045122,Silver
135,40,Female,USA,84106,7,9,21,Medium,62.53191055374616,Gold
136,46,Female,USA,39420,5,3,32,Medium,69.14489317648597,Bronze
137,58,Female,UK,39134,8,1,21,Low,24.880397587655175,Bronze
138,59,Male,Germany,118391,1,7,8,Medium,55.11399543743427,Bronze
139,36,Female,UK,76373,9,8,25,High,89.92787653156088,Silver
140,63,Male,UK,72252,10,5,27,Low,25.957051137554664,Bronze
141,29,Male,USA,109113,2,6,43,Low,34.242011320574605,Silver
142,45,Male,Germany,43256,10,9,17,Medium,43.84069355086424,Bronze
143,26,Female,France,100274,10,9,30,Medium,44.4094517678871,Gold
144,23,Male,France,77221,9,1,16,High,82.2254388093194,Gold
145,62,Male,UK,113348,2,1,38,High,87.55718864158106,Gold
146,45,Female,UK,88622,5,10,14,Low,27.685655047349652,Gold
147,68,Female,UK,44328,1,2,34,Medium,55.14392619344781,Bronze
148,69,Male,USA,85069,8,10,4,Medium,49.9373028315831,Gold
149,53,Male,France,41396,9,10,4,Medium,43.96100783552813,Silver
150,42,Female,UK,97190,4,10,41,Medium,60.74044857381557,Silver
151,59,Male,Canada,114201,7,5,36,Medium,69.97492109474385,Bronze
152,66,Female,Germany,82591,5,1,16,Medium,58.210633297304014,Gold
153,52,Female,UK,55029,8,5,30,Low,32.67582089356226,Gold
154,45,Male,UK,85819,2,9,39,Medium,51.78752430533403,Bronze
155,46,Male,USA,80665,5,4,37,Medium,45.38796899093104,Bronze
156,68,Male,UK,88774,1,5,29,Medium,47.6959943168965,Silver
157,38,Male,Germany,62664,3,2,14,Medium,47.5623153071697,Gold
158,29,Female,France,96378,9,10,44,High,79.99842361991413,Silver
159,19,Male,France,114742,8,6,14,Low,37.786769824542425,Gold
160,62,Female,Canada,35183,9,9,29,Low,21.58625012644108,Gold
161,67,Female,Germany,61615,8,10,23,Low,34.11654889263111,Bronze
162,31,Female,UK,88644,6,1,35,Low,24.06276686058599,Silver
163,22,Male,Germany,57889,10,7,36,High,87.10144622750478,Gold
164,43,Male,France,84605,3,9,25,Medium,53.46566099626173,Gold
165,63,Male,Canada,83963,7,6,9,Medium,69.7495225646988,Silver
166,24,Male,France,63814,2,2,46,Medium,54.012746129850605,Bronze
167,56,Male,USA,92299,4,4,36,Low,22.466487763898485,Bronze
168,23,Male,USA,36317,7,3,19,Medium,59.52687189561108,Bronze
169,69,Female,UK,72941,7,7,2,Medium,53.549385831486255,Silver
170,47,Female,UK,86981,1,9,42,Medium,69.36853469288658,Gold
171,29,Male,UK,100515,3,6,8,High,80.078056076048,Bronze
172,43,Male,USA,60770,4,6,33,Medium,54.321981410842014,Silver
173,59,Male,France,81224,1,9,30,High,96.68854413361585,Gold
174,61,Male,UK,103455,7,2,35,Medium,62.41222184769543,Gold
175,48,Female,UK,63082,4,8,48,Medium,45.759353649861765,Silver
176,52,Female,France,84247,8,3,6,Medium,57.37092373903057,Bronze
177,32,Male,Germany,102734,6,4,10,Medium,46.75045672014287,Gold
178,59,Male,USA,40177,2,5,30,High,79.38813579443648,Bronze
179,32,Male,France,108137,8,2,16,Medium,55.53130784614652,Gold
180,24,Female,Germany,113180,8,9,20,High,98.32866941305772,Silver
181,68,Female,UK,61739,7,8,35,Medium,46.30103592316804,Bronze
182,33,Female,Canada,71206,7,5,22,Low,15.15731907745481,Bronze
183,23,Female,USA,72516,6,10,19,Medium,41.23259478413673,Gold
184,44,Male,Germany,103712,6,2,20,Medium,50.86916310143066,Gold
185,37,Male,USA,71983,9,7,36,Low,38.495777313412844,Silver
186,18,Female,USA,80678,5,10,16,High,81.0390153452588,Gold
187,20,Female,UK,81411,4,8,10,Medium,60.836582311376546,Bronze
188,57,Female,UK,65555,7,1,1,Medium,51.49667296741029,Bronze
189,69,Female,USA,32410,2,9,26,High,88.16158702210105,Bronze
190,60,Male,USA,52964,8,3,5,Medium,46.224929247610575,Bronze
191,51,Female,Canada,41295,1,2,45,High,74.75701869098907,Silver
192,36,Female,UK,110632,1,5,22,Medium,65.58352001160254,Silver
193,55,Male,Canada,100035,3,6,30,Medium,54.36071490549068,Silver
194,53,Male,Canada,33972,5,9,40,High,89.5804300365989,Bronze
195,19,Male,Germany,81667,4,3,24,Low,5.391269639467231,Bronze
196,49,Female,Canada,39131,7,9,32,High,76.74308083710758,Bronze
197,38,Male,Canada,67509,6,1,35,High,83.61422508788067,Silver
198,38,Female,Germany,54840,1,8,26,Low,10.60910029379488,Bronze
199,39,Male,Germany,112180,8,6,25,High,96.46597731326084,Silver
200,34,Male,France,108192,4,5,15,Medium,64.57061180035782,Silver
201,69,Male,Germany,74891,2,10,38,Medium,68.84015175617714,Bronze
202,39,Male,UK,103646,3,3,49,Medium,66.5044467828663,Silver
203,29,Male,France,72350,6,6,44,High,75.32781734610296,Bronze
204,59,Male,USA,95911,4,4,14,Low,30.59191701027725,Bronze
205,19,Female,UK,91828,5,10,2,Medium,61.70124879070001,Silver
206,43,Male,USA,48501,7,10,23,Medium,67.3672966943145,Gold
207,30,Male,USA,36690,2,10,48,Low,39.49974657971401,Bronze
208,61,Female,Canada,42916,9,2,7,High,99.71185126515653,Silver
209,53,Male,USA,44758,8,8,49,Medium,67.96328606147254,Bronze
210,63,Female,France,92673,5,4,27,Low,31.011320411413173,Gold
211,55,Female,Germany,82749,2,9,28,Medium,42.23405621487045,Bronze
212,32,Male,USA,106916,8,9,34,High,76.47664767993898,Gold
213,37,Female,France,46341,3,10,36,High,95.10530276205446,Gold
214,34,Male,USA,31976,7,9,11,High,72.56905705469686,Bronze
215,39,Male,Germany,49009,5,8,12,High,77.32038299123418,Bronze
216,20,Female,USA,84118,5,5,36,High,84.33506749520335,Gold
217,67,Male,USA,67932,6,8,39,Medium,45.71703145128211,Bronze
218,55,Female,Germany,64853,1,9,12,Low,22.9362396614715,Bronze
219,65,Female,France,39794,9,10,34,Medium,62.853301687160936,Bronze
220,32,Male,Canada,73836,1,5,20,Medium,50.06637009874528,Bronze
221,28,Male,UK,116409,3,3,34,Low,17.828915298543777,Bronze
222,62,Male,France,111786,8,3,25,High,73.6742538228859,Bronze
223,45,Female,Canada,50479,7,7,48,Low,16.49309174436149,Bronze
224,38,Male,UK,50401,2,10,6,Medium,60.7080039156951,Silver
225,59,Male,France,93757,1,6,32,Medium,55.44420217438523,Bronze
226,55,Female,USA,104292,5,6,36,Medium,50.06746210550793,Silver
227,31,Male,USA,86042,2,10,22,Medium,63.98508819594429,Silver
228,22,Male,UK,95821,6,9,22,Medium,63.06006253031148,Silver
229,25,Male,UK,104495,7,6,46,Low,4.74859056990219,Gold
230,51,Male,USA,64624,10,8,22,Medium,42.38521117086084,Gold
231,35,Male,France,36915,6,8,14,Low,34.57844783381005,Bronze
232,30,Female,Germany,60874,4,7,30,Low,15.951216283978656,Silver
233,56,Female,UK,113840,7,6,24,Medium,69.4793569238927,Bronze
234,69,Male,UK,112683,6,4,5,Medium,53.831768465253745,Gold
235,65,Female,France,31611,2,6,22,Medium,63.23992106832233,Gold
236,22,Male,Germany,44433,1,6,42,High,73.57059006484236,Bronze
237,42,Male,USA,93603,8,1,36,Low,1.6469201730907925,Bronze
238,63,Female,UK,45059,5,3,24,High,90.96575098045933,Silver
239,66,Female,USA,40500,6,7,22,Low,26.204574525860075,Gold
240,57,Male,Germany,112209,8,8,17,Medium,58.966934318704546,Bronze
241,54,Male,USA,68463,10,7,12,Medium,57.115050436418755,Bronze
242,24,Female,France,30868,5,1,36,High,98.0882542040003,Bronze
243,46,Male,USA,104700,7,4,10,Low,35.59118932994386,Bronze
244,52,Male,UK,30535,6,7,17,High,95.49916600149993,Gold
245,30,Female,Germany,101034,2,6,20,Low,20.8255463354336,Gold
246,23,Female,UK,69281,9,5,8,Low,29.441541335551683,Gold
247,21,Female,France,61587,3,8,6,High,86.32528559562233,Bronze
248,43,Male,France,88521,6,7,18,Medium,67.35750547876505,Bronze
249,24,Male,Canada,38697,10,3,43,Medium,45.63612225405256,Silver
250,33,Male,Canada,48729,8,5,15,Low,32.90390936543906,Silver
251,43,Female,France,57508,7,7,11,Medium,44.04460728750095,Gold
252,41,Female,Canada,103939,7,2,46,Medium,54.52297148848065,Bronze
253,50,Male,Canada,82884,4,4,5,Medium,52.19111604409066,Bronze
254,61,Female,France,98309,7,7,10,Medium,66.3588638452684,Bronze
255,68,Female,USA,98835,6,3,8,Medium,64.97641368766145,Bronze
256,29,Female,USA,77291,5,4,11,Low,3.0253717692795137,Gold
257,31,Male,Canada,111860,5,9,8,Medium,60.24252080709175,Bronze
258,50,Male,UK,113413,8,5,29,High,85.32574763514133,Silver
259,55,Male,Germany,94320,6,6,48,High,75.1920556877589,Silver
260,30,Male,Canada,110792,6,8,15,Medium,45.48794149029014,Gold
261,28,Female,UK,65638,8,5,19,Medium,41.12564283818429,Bronze
262,18,Female,Germany,56786,1,4,30,High,99.53986923181373,Bronze
263,68,Female,Canada,86642,9,7,33,High,91.85297034330976,Silver
264,36,Female,Canada,64182,2,4,2,High,81.87795142208887,Bronze
265,27,Male,USA,108467,8,8,12,Medium,62.31964207740244,Gold
266,54,Male,USA,85797,7,7,36,Medium,61.387649721420686,Gold
267,62,Male,Germany,86626,2,1,24,High,90.32907790025203,Bronze
268,27,Male,France,98235,5,10,36,Low,6.285097248487855,Bronze
269,19,Female,Canada,111683,2,4,17,Medium,53.406606782501335,Gold
270,29,Male,UK,73199,7,4,6,Medium,52.711164383878106,Bronze
271,51,Male,USA,33406,8,6,44,High,85.64771757105687,Silver
272,60,Female,UK,78205,7,8,20,Medium,60.78745621878345,Bronze
273,37,Female,Canada,67709,9,3,4,Medium,43.80873543655376,Bronze
274,63,Male,Canada,66790,7,5,9,Medium,52.84241944417261,Gold
275,26,Male,Germany,40473,2,1,30,Medium,46.78029685320422,Silver
276,58,Female,France,88591,1,3,41,Medium,57.07362335993291,Bronze
277,67,Male,Canada,89558,10,5,11,Medium,56.11796161816946,Bronze
278,59,Female,UK,57543,6,1,30,Medium,58.90837904307262,Gold
279,67,Male,France,69209,4,7,15,Medium,64.2854440229658,Gold
280,26,Female,Germany,75187,10,3,14,Medium,49.89139836678039,Gold
281,57,Female,UK,98193,2,7,14,Medium,69.71323794407803,Bronze
282,40,Male,Canada,78102,7,7,49,High,81.70494468452891,Silver
283,62,Female,Canada,76828,10,10,21,High,93.57086450299232,Bronze
284,32,Female,USA,99506,1,3,16,High,85.11679242213994,Silver
285,38,Female,France,73168,2,2,43,High,95.90184714868828,Gold
286,22,Female,USA,57652,10,6,38,Medium,41.90618570410726,Bronze
287,48,Male,Germany,118352,10,3,15,Medium,48.221874150961895,Silver
288,42,Female,UK,105409,7,1,33,Medium,43.86496785587645,Bronze
289,33,Male,Canada,91377,5,5,32,Medium,57.703740668771246,Bronze
290,31,Female,Germany,78420,1,1,3,High,73.64223615420528,Silver
291,26,Female,France,104721,2,6,35,Medium,56.90597962405547,Gold
292,29,Male,Germany,52255,6,7,47,High,87.8568697410494,Silver
293,22,Male,USA,73914,9,1,39,High,79.81033699576834,Gold
294,41,Male,Canada,116619,6,9,18,High,71.74933532068991,Bronze
295,58,Female,France,115698,2,4,48,Low,13.19230145256315,Bronze
296,42,Female,USA,59455,1,10,48,High,93.88141775901846,Bronze
297,53,Female,France,104669,4,1,30,Medium,57.19403908027847,Gold
298,62,Female,USA,116125,1,5,20,Medium,43.24958743189376,Silver
299,60,Male,Canada,90622,4,1,45,Low,24.73514705920273,Bronze
300,63,Male,USA,68624,3,2,43,High,74.5648127795429,Bronze
301,25,Female,Canada,84940,7,8,37,Medium,41.08871707271588,Gold
302,24,Male,UK,53321,4,6,35,High,71.11823996195538,Silver
303,22,Female,USA,95948,1,8,26,Low,33.76441954050299,Gold
304,58,Female,France,116884,8,9,34,Medium,55.04080155461003,Silver
305,48,Male,France,88053,7,6,18,Medium,63.68307386396407,Gold
306,38,Male,UK,63844,6,10,11,Medium,58.79533942507495,Silver
307,18,Male,Germany,83140,8,5,12,Medium,59.6849638416501,Bronze
308,24,Female,USA,34421,4,4,35,Medium,55.77272477360755,Bronze
309,59,Male,Canada,32083,8,6,30,Medium,60.74167028751478,Silver
310,60,Female,Germany,41435,4,8,29,High,80.56290615399679,Bronze
311,47,Female,France,117390,3,9,14,Medium,46.81364699653327,Bronze
312,22,Male,Canada,30459,6,2,25,Medium,56.986240272778,Bronze
313,56,Female,USA,97542,1,7,18,Medium,63.875162395850126,Silver
314,50,Female,USA,67539,6,2,26,High,89.57406114678598,Gold
315,18,Female,Germany,34847,9,8,36,Medium,47.91923312879954,Silver
316,35,Male,France,116664,3,1,12,High,79.8755942263514,Bronze
317,27,Male,France,74030,3,2,38,Medium,68.20201381705692,Silver
318,22,Male,Canada,108889,3,3,25,Low,19.45760933643548,Silver
319,66,Female,UK,56127,6,8,20,Medium,55.2342194667838,Gold
320,34,Female,France,97621,7,5,9,High,97.94211611776853,Bronze
321,65,Male,USA,108159,5,7,13,High,71.36303172512856,Silver
322,56,Male,France,60756,8,8,29,Low,14.585693115236353,Silver
323,42,Female,UK,97263,6,3,13,Medium,53.48209498663673,Silver
324,29,Female,USA,113089,1,2,22,High,92.47243056760988,Bronze
325,55,Female,Germany,40671,8,7,6,High,77.19912657317019,Bronze
326,22,Male,France,93759,2,10,1,High,80.1005703660014,Bronze
327,64,Male,France,68069,4,2,41,Medium,69.74441559478794,Gold
328,62,Female,Canada,73938,4,1,9,Medium,62.394592785401514,Silver
329,22,Male,France,86795,9,5,37,Medium,64.53365683564542,Bronze
330,43,Male,UK,39550,5,8,35,High,77.14103986055065,Silver
331,68,Female,Canada,47894,1,3,42,Medium,52.80546142597331,Bronze
332,65,Male,Germany,46665,7,7,7,Medium,43.767652329719894,Silver
333,26,Female,UK,52129,2,5,44,Medium,55.510209932022406,Bronze
334,62,Female,USA,119373,6,2,36,Medium,65.7817213568145,Bronze
335,68,Female,UK,38820,3,5,5,Medium,58.36379903538092,Silver
336,26,Female,USA,39742,2,4,28,Medium,41.466502044533826,Gold
337,42,Female,USA,93989,1,4,36,High,99.59764424065811,Bronze
338,58,Female,France,55567,1,9,38,Medium,69.18962320294257,Silver
339,18,Male,Canada,103841,8,2,17,Medium,57.023502434883525,Bronze
340,28,Female,Canada,103951,9,6,18,Medium,55.93045763118265,Bronze
341,62,Male,UK,117392,9,8,29,High,94.23298419729892,Gold
342,39,Male,UK,64444,7,1,44,High,93.87945509842265,Bronze
343,47,Female,France,48570,7,9,40,High,83.92606740892485,Bronze
344,52,Female,USA,34482,4,9,25,Medium,67.751773252093,Gold
345,22,Male,France,111495,2,9,42,Medium,59.05638218396311,Bronze
346,36,Male,UK,77126,2,6,49,Low,13.637470614966306,Gold
347,21,Male,Canada,80736,6,4,2,High,80.91812501210586,Bronze
348,20,Female,USA,111053,2,4,34,Medium,45.92972484814429,Bronze
349,50,Female,Germany,80529,1,9,17,High,71.60518485782826,Bronze
350,52,Male,Canada,101725,6,3,6,Medium,69.70252227554522,Bronze
351,54,Male,France,116623,1,5,23,High,85.49183728389221,Gold
352,45,Male,USA,81514,9,9,32,Medium,58.08094449862369,Bronze
353,51,Female,Canada,95242,6,4,2,High,80.42954836048372,Silver
354,24,Female,France,117076,8,3,6,Medium,62.68046510224494,Bronze
355,61,Female,France,51352,8,10,19,High,94.23317408359343,Gold
356,33,Male,Germany,77008,1,2,36,Medium,47.58790118067781,Bronze
357,67,Female,USA,93163,2,10,14,Low,1.8990132642967519,Silver
358,48,Female,Canada,77475,3,4,20,Medium,49.73421118141364,Silver
359,55,Female,UK,56836,8,1,5,Medium,55.863887505569,Silver
360,44,Female,France,48798,1,10,8,High,95.94389483157656,Silver
361,37,Male,Canada,47534,9,2,27,Low,4.067104157404193,Silver
362,19,Female,France,56184,3,9,9,Medium,49.54777882993105,Bronze
363,61,Male,France,46360,1,6,15,Medium,65.03490815412806,Bronze
364,34,Female,Canada,73519,7,2,26,High,89.91250066181492,Bronze
365,52,Female,UK,111947,8,3,29,Medium,61.97814942134882,Bronze
366,25,Male,France,114657,7,10,3,Medium,66.40633742515382,Silver
367,34,Female,France,39762,4,5,35,Medium,50.58333217727915,Bronze
368,33,Female,Canada,60394,8,4,36,High,88.06843577677913,Silver
369,55,Male,USA,37839,7,2,19,High,78.40362275461383,Bronze
370,43,Male,USA,70444,6,8,46,Medium,67.43899387343701,Silver
371,49,Female,USA,87857,3,8,48,Medium,43.399628070084695,Gold
372,45,Male,UK,111622,9,3,34,Medium,49.78217003848282,Silver
373,22,Female,USA,40565,10,6,24,High,84.67992431843474,Bronze
374,59,Male,Canada,112284,9,9,45,Medium,60.42572494354977,Bronze
375,53,Male,USA,105955,1,8,4,Medium,62.330916980393354,Bronze
376,25,Male,Germany,65452,7,2,6,Low,20.930605823770787,Silver
377,53,Male,UK,75079,3,7,27,Medium,47.92907006907897,Bronze
378,41,Female,France,30492,2,4,19,Medium,49.5589413994643,Bronze
379,30,Male,France,80683,8,3,45,Medium,46.960085988979316,Bronze
380,56,Male,Germany,107335,4,2,44,Medium,69.67118129936965,Bronze
381,53,Female,France,86841,1,6,48,High,87.26971103854144,Gold
382,42,Female,UK,70519,6,4,36,Medium,59.35662329539248,Bronze
383,44,Female,Germany,95126,7,4,30,Medium,66.66120398677565,Bronze
384,43,Female,USA,89884,3,7,11,High,90.86114063369442,Gold
385,34,Male,USA,104108,4,4,31,High,97.53403727698807,Silver
386,69,Female,Canada,45116,7,7,16,High,99.37613827478688,Gold
387,66,Female,Canada,67948,5,4,3,Medium,67.45064559895923,Gold
388,66,Male,Germany,45888,6,10,27,High,88.32788275495895,Silver
389,59,Female,Germany,60886,2,7,38,Medium,56.448848628741175,Bronze
390,58,Male,USA,108987,2,8,3,Medium,41.71135969068362,Bronze
391,32,Female,UK,30422,3,7,32,Medium,59.541566665097676,Silver
392,62,Female,Canada,43958,5,1,34,High,76.33155917832985,Silver
393,26,Male,Germany,83267,3,10,27,High,83.94522631449561,Silver
394,47,Male,Germany,114980,9,2,42,High,86.71876692361782,Gold
395,29,Female,France,97760,2,3,13,Medium,62.204390404584466,Bronze
396,66,Male,Germany,42175,2,4,20,Medium,49.790312527606304,Silver
397,41,Male,Germany,59324,1,3,34,Medium,45.702833801772904,Silver
